,importance
y_mean,0.3391253679626249
y_spec_centroid,0.24844157437930356
y_ptp,0.0898275118751105
y_rms,0.08326417136614023
y_std,0.07952165431259314
x_mean,0.04276373561971317
y_skew,0.03591874211444153
x_skew,0.030109205264627962
x_spec_centroid,0.022741000364162645
x_ptp,0.013067749023334074
y_dom_freq,0.006609970497279669
x_dom_freq,0.0041000107048521335
x_spec_entropy,0.003713857417852158
y_spec_entropy,0.0007954490979610662
x_kurtosis,1.7385615284029236e-15
y_kurtosis,9.160715624474875e-16
y_crest,5.94503959723799e-16
x_std,0.0
x_rms,0.0
x_crest,0.0
