model,axes,n_features,cv_macro_f1_mean,cv_macro_f1_std
AdaBoost,XYZ,30,0.9284216312454767,0.026962515777456113
AdaBoost,XY,20,0.9268599902309922,0.0185947982675691
AdaBoost,YZ,20,0.9242938208755652,0.02238214500328816
AdaBoost,XZ,20,0.9123080606296061,0.024183437646874927
AdaBoost,Y,10,0.9059107252990068,0.01290710034949997
AdaBoost,Z,10,0.8932284399533127,0.02565567819509394
AdaBoost,X,10,0.6338437300571906,0.040403190619176556
XGBoost,XYZ,30,0.9609675593591656,0.0175023045290841
XGBoost,YZ,20,0.9563125367152912,0.018428869483589138
XGBoost,XY,20,0.9421764556589755,0.015460597365770393
XGBoost,XZ,20,0.9398329669327772,0.025215484543272243
XGBoost,Y,10,0.9269917061108017,0.010292613489733166
XGBoost,Z,10,0.9220812265469791,0.027902838119961672
XGBoost,X,10,0.6621840732000828,0.04405571720443119
