n_estimators,max_depth_setting,learning_rate,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean,trees,nodes,leaves,actual_max_depth
100,3,0.1,0.9617221621999605,0.015079835036509032,0.9618378441802253,500,5900,3200,3
75,3,0.1,0.9595137970196126,0.011595739590905312,0.9596491708385482,375,4549,2462,3
100,2,0.1,0.957011453265965,0.017723001162690887,0.9571464330413016,500,3186,1843,2
75,2,0.1,0.9553562288629246,0.017538912427789332,0.9555831508135169,375,2419,1397,2
100,3,0.05,0.9543964099036814,0.013438321184102537,0.9546448685857322,500,6240,3370,3
50,3,0.1,0.9537817607519834,0.014786126455972324,0.9540190863579474,250,3080,1665,3
75,3,0.05,0.9505018451293958,0.01918166412289797,0.9508929130162703,375,4695,2535,3
30,3,0.1,0.946653008771945,0.01887791295085326,0.9471386107634543,150,1870,1010,3
100,2,0.05,0.9454850305299366,0.02412431441764459,0.9458886107634543,500,3268,1884,2
50,2,0.1,0.9451617351854209,0.021954417630967907,0.9455765018773468,250,1622,936,2
50,3,0.05,0.944401063238766,0.02335919131431733,0.944950719649562,250,3154,1702,3
100,1,0.1,0.9438898568445416,0.024759369031729855,0.9440104818523154,500,1500,1000,1
20,3,0.1,0.9433554760328943,0.023210191654092282,0.9440104818523154,100,1252,676,3
75,2,0.05,0.9402656108676702,0.027028500248377715,0.9408835262828535,375,2449,1412,2
30,3,0.05,0.9395582670270048,0.022795942154934346,0.9405706351689612,150,1894,1022,3
75,1,0.1,0.9370845451016233,0.02342231603950409,0.937443288485607,375,1125,750,1
20,3,0.05,0.9343346653400246,0.02241088008564441,0.9352510951188986,100,1268,684,3
30,2,0.1,0.9312609171573436,0.02707481480470806,0.9321245306633291,150,976,563,2
50,2,0.05,0.9290968454770738,0.03139630735533159,0.9302491395494368,250,1632,941,2
20,2,0.1,0.9248870137749552,0.032147910152397194,0.9261839017521902,100,652,376,2
50,1,0.1,0.9216031453807455,0.03194862402590908,0.9221159261576971,250,750,500,1
100,1,0.05,0.9208818384748538,0.03297122025589383,0.9214905350438048,500,1500,1000,1
20,2,0.05,0.9189108895519313,0.03351953667437995,0.9205542083854819,100,652,376,2
30,2,0.05,0.918569931462398,0.035238794095554596,0.9202420994993742,150,976,563,2
75,1,0.05,0.9115200959295636,0.03377697752085788,0.912421777221527,375,1125,750,1
30,1,0.1,0.9059921179916055,0.03768475975572472,0.9064803660826033,150,450,300,1
50,1,0.05,0.9015307306369202,0.03844108565896225,0.9021018460575719,250,750,500,1
20,1,0.1,0.8955922455659666,0.03439724987582524,0.8961561326658323,100,300,200,1
30,1,0.05,0.8892546274995802,0.03294334361387831,0.889586983729662,150,450,300,1
20,1,0.05,0.886631207464293,0.03729627791891327,0.8873979192740926,100,300,200,1
