model,axes,tier,tier_index,n_features,uses_fft,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean
AdaBoost_XY,XY,base_time,0,10,0,0.80573179286091,0.026497684999885255,0.804493898623279
AdaBoost_XY,XY,time_plus_skew,1,12,0,0.8490821690604161,0.03234999652676734,0.8489103566958699
AdaBoost_XY,XY,time_all,2,14,0,0.8494690352434107,0.03525069446577321,0.8492244211514393
AdaBoost_XY,XY,time_plus_centroid,3,16,1,0.9209197766365003,0.007035843135840817,0.9202370150187735
AdaBoost_XY,XY,all_features,4,20,1,0.9268599902309922,0.0185947982675691,0.9261784261576971
XGBoost_YZ_compact,YZ,base_time,0,10,0,0.8828376015709507,0.024094994207867395,0.8826971214017522
XGBoost_YZ_compact,YZ,time_plus_skew,1,12,0,0.8984782154655867,0.026683858124163233,0.8983369837296622
XGBoost_YZ_compact,YZ,time_all,2,14,0,0.8960231466345142,0.02463927643624208,0.895835810387985
XGBoost_YZ_compact,YZ,time_plus_centroid,3,16,1,0.9547911250325916,0.0220260612210936,0.9549577596996245
XGBoost_YZ_compact,YZ,all_features,4,20,1,0.9551743477289472,0.019844675454190903,0.9552690863579474
