model,axes,k_features,cv_macro_f1_mean,cv_macro_f1_std,cv_accuracy_mean
XGBoost,YZ,20,0.9572518083888373,0.019233337255999735,0.9574585419274093
XGBoost,YZ,15,0.9578955403555836,0.015512356463689111,0.9580851063829786
XGBoost,YZ,12,0.9544474135107499,0.018341839044393956,0.9546452596996245
XGBoost,YZ,10,0.952267431157587,0.014356319570208324,0.9524546307884856
XGBoost,YZ,8,0.9451995097933562,0.01573144303749957,0.9455753285356696
XGBoost,YZ,6,0.9277182828899093,0.028066586681502637,0.928372183979975
XGBoost,YZ,5,0.9239023444088985,0.023010946404195626,0.9246167083854818
XGBoost,YZ,4,0.8961143707884472,0.028471650099546726,0.8970951971214018
XGBoost,YZ,3,0.8784413357009386,0.0333259536111436,0.8786455725907384
AdaBoost,XY,20,0.9268599902309922,0.0185947982675691,0.9261784261576971
AdaBoost,XY,15,0.9259213794551522,0.017673958258205495,0.92523975281602
AdaBoost,XY,12,0.919478986851863,0.017244401799618773,0.9186690394242804
AdaBoost,XY,10,0.9160154322670128,0.024160592193193584,0.9152260638297873
AdaBoost,XY,8,0.9220191559847722,0.01030123532182156,0.9211733416770964
AdaBoost,XY,6,0.90159612192636,0.010441506385896398,0.9008444148936171
AdaBoost,XY,5,0.8932724601072277,0.015481986896915522,0.8930193992490613
AdaBoost,XY,4,0.8849013099361605,0.02640301760098022,0.8842611858573216
AdaBoost,XY,3,0.8944691096128633,0.016799134669103703,0.8942752659574468
