model,condition,macro_f1,accuracy,min_class_recall
AdaBoost_XY,clean,0.9241314136981117,0.9235588972431078,0.8176100628930818
AdaBoost_XY,gaussian_1pct,0.925152411637663,0.924812030075188,0.8113207547169812
AdaBoost_XY,gaussian_3pct,0.9217464329015309,0.9210526315789473,0.8238993710691824
AdaBoost_XY,gaussian_5pct,0.9215360667416693,0.9210526315789473,0.8176100628930818
AdaBoost_XY,gain_plus_5pct,0.9195014955458356,0.9197994987468672,0.8238993710691824
AdaBoost_XY,gain_minus_5pct,0.887355479447355,0.8859649122807017,0.7295597484276729
AdaBoost_XY,dc_offset_2pct_std,0.8687693367699781,0.8659147869674185,0.70625
XGBoost_YZ_compact,clean,0.9085564700111272,0.9097744360902256,0.6855345911949685
XGBoost_YZ_compact,gaussian_1pct,0.9100242894532032,0.9110275689223057,0.6918238993710691
XGBoost_YZ_compact,gaussian_3pct,0.9085560418063151,0.9097744360902256,0.6855345911949685
XGBoost_YZ_compact,gaussian_5pct,0.9038993564650472,0.9047619047619048,0.6855345911949685
XGBoost_YZ_compact,gain_plus_5pct,0.9017055013677651,0.9035087719298246,0.7044025157232704
XGBoost_YZ_compact,gain_minus_5pct,0.8817277633482723,0.8834586466165414,0.5974842767295597
XGBoost_YZ_compact,dc_offset_2pct_std,0.8998906564983333,0.9035087719298246,0.6163522012578616
