stress,level,macro_f1,accuracy,repetition
none,0.0,0.9137514119720038,0.9147869674185464,
feature_gaussian_noise,0.01,0.9113955302003038,0.9122807017543859,0.0
feature_gaussian_noise,0.01,0.9103461188520814,0.9110275689223057,1.0
feature_gaussian_noise,0.01,0.9124189361249675,0.9135338345864662,2.0
feature_gaussian_noise,0.01,0.9085826733303117,0.9097744360902256,3.0
feature_gaussian_noise,0.01,0.9138907906449318,0.9147869674185464,4.0
feature_gaussian_noise,0.03,0.9072771745293841,0.9085213032581454,0.0
feature_gaussian_noise,0.03,0.907836234215047,0.9085213032581454,1.0
feature_gaussian_noise,0.03,0.9111293758011418,0.9122807017543859,2.0
feature_gaussian_noise,0.03,0.9046383359079224,0.9060150375939849,3.0
feature_gaussian_noise,0.03,0.9044250016695837,0.9060150375939849,4.0
feature_gaussian_noise,0.05,0.9091665896540372,0.9097744360902256,0.0
feature_gaussian_noise,0.05,0.906106479993041,0.9072681704260651,1.0
feature_gaussian_noise,0.05,0.9085364455007128,0.9097744360902256,2.0
feature_gaussian_noise,0.05,0.9087953512189066,0.9097744360902256,3.0
feature_gaussian_noise,0.05,0.9010345500461211,0.9022556390977443,4.0
