feature_replaced_by_train_median,macro_f1,accuracy
z_spec_centroid,0.8136816783845656,0.8170426065162907
z_mean,0.8517097515912153,0.849624060150376
y_mean,0.5958796191712072,0.6629072681704261
y_rms,0.9020718070328769,0.9047619047619048
y_spec_centroid,0.8495873349572507,0.8458646616541353
z_rms,0.9261906213521401,0.9260651629072681
z_std,0.9236736941097373,0.9235588972431078
y_std,0.9113826081584273,0.9122807017543859
y_skew,0.9096892690967338,0.9097744360902256
y_ptp,0.9142886191608103,0.9147869674185464
