,importance
z_spec_centroid,0.18178217113018036
z_mean,0.1669655591249466
y_mean,0.1436733454465866
y_rms,0.10955192893743515
y_spec_centroid,0.06549578905105591
z_rms,0.05888892710208893
z_std,0.05874824896454811
y_std,0.04364927113056183
y_skew,0.03250555321574211
y_ptp,0.026706907898187637
z_dom_freq,0.02598218061029911
z_ptp,0.024137813597917557
y_dom_freq,0.015484589152038097
z_skew,0.010349742136895657
z_crest,0.009282808750867844
y_spec_entropy,0.008785325102508068
z_kurtosis,0.006730435881763697
z_spec_entropy,0.004972743336111307
y_crest,0.004280701279640198
y_kurtosis,0.0020259590819478035
